Date	Value
20030704	27.1
20030705	NA
20030706	NA
20030707	NA
20030708	NA
20030709	NA
20030710	NA
20030711	NA
20030712	NA
20030713	NA
20030714	NA
20030715	NA
20030716	NA
20030717	NA
20030718	NA
20030719	NA
20030720	NA
20030721	NA
20030722	NA
20030723	NA
20030724	NA
20030725	NA
20030726	NA
20030727	NA
20030728	NA
20030729	NA
20030730	NA
20030731	NA
20030801	NA
20030802	NA
20030803	NA
20030804	NA
20030805	NA
20030806	NA
20030807	NA
20030808	NA
20030809	NA
20030810	NA
20030811	NA
20030812	NA
20030813	NA
20030814	NA
20030815	NA
20030816	NA
20030817	NA
20030818	NA
20030819	NA
20030820	NA
20030821	NA
20030822	NA
20030823	NA
20030824	NA
20030825	NA
20030826	NA
20030827	NA
20030828	NA
20030829	NA
20030830	NA
20030831	NA
20030901	NA
20030902	NA
20030903	NA
20030904	NA
20030905	NA
20030906	NA
20030907	NA
20030908	NA
20030909	NA
20030910	NA
20030911	NA
20030912	NA
20030913	NA
20030914	NA
20030915	NA
20030916	NA
20030917	NA
20030918	NA
20030919	NA
20030920	NA
20030921	NA
20030922	NA
20030923	NA
20030924	NA
20030925	NA
20030926	NA
20030927	NA
20030928	NA
20030929	NA
20030930	NA
20031001	NA
20031002	NA
20031003	NA
20031004	NA
20031005	NA
20031006	NA
20031007	NA
20031008	NA
20031009	NA
20031010	NA
20031011	NA
20031012	NA
20031013	NA
20031014	NA
20031015	NA
20031016	NA
20031017	NA
20031018	NA
20031019	NA
20031020	NA
20031021	NA
20031022	NA
20031023	NA
20031024	NA
20031025	NA
20031026	NA
20031027	NA
20031028	NA
20031029	NA
20031030	NA
20031031	NA
20031101	NA
20031102	NA
20031103	NA
20031104	NA
20031105	NA
20031106	NA
20031107	NA
20031108	NA
20031109	NA
20031110	NA
20031111	NA
20031112	NA
20031113	NA
20031114	NA
20031115	NA
20031116	NA
20031117	NA
20031118	NA
20031119	NA
20031120	NA
20031121	NA
20031122	NA
20031123	NA
20031124	NA
20031125	NA
20031126	NA
20031127	NA
20031128	NA
20031129	NA
20031130	NA
20031201	NA
20031202	NA
20031203	NA
20031204	NA
20031205	NA
20031206	NA
20031207	NA
20031208	NA
20031209	NA
20031210	NA
20031211	NA
20031212	NA
20031213	NA
20031214	NA
20031215	NA
20031216	NA
20031217	NA
20031218	NA
20031219	NA
20031220	NA
20031221	NA
20031222	NA
20031223	NA
20031224	NA
20031225	NA
20031226	NA
20031227	NA
20031228	NA
20031229	NA
20031230	NA
20031231	NA
20040101	NA
20040102	NA
20040103	NA
20040104	NA
20040105	NA
20040106	NA
20040107	NA
20040108	NA
20040109	NA
20040110	NA
20040111	NA
20040112	NA
20040113	NA
20040114	NA
20040115	NA
20040116	NA
20040117	NA
20040118	NA
20040119	NA
20040120	NA
20040121	NA
20040122	NA
20040123	NA
20040124	NA
20040125	NA
20040126	NA
20040127	NA
20040128	NA
20040129	NA
20040130	NA
20040131	NA
20040201	NA
20040202	NA
20040203	NA
20040204	NA
20040205	NA
20040206	NA
20040207	NA
20040208	NA
20040209	NA
20040210	NA
20040211	NA
20040212	NA
20040213	NA
20040214	NA
20040215	NA
20040216	NA
20040217	NA
20040218	NA
20040219	NA
20040220	NA
20040221	NA
20040222	NA
20040223	NA
20040224	NA
20040225	NA
20040226	NA
20040227	NA
20040228	NA
20040229	NA
20040301	NA
20040302	NA
20040303	NA
20040304	NA
20040305	NA
20040306	NA
20040307	NA
20040308	NA
20040309	NA
20040310	NA
20040311	NA
20040312	NA
20040313	NA
20040314	NA
20040315	NA
20040316	NA
20040317	NA
20040318	NA
20040319	NA
20040320	NA
20040321	NA
20040322	NA
20040323	NA
20040324	NA
20040325	NA
20040326	NA
20040327	NA
20040328	NA
20040329	NA
20040330	NA
20040331	NA
20040401	NA
20040402	NA
20040403	NA
